idx,Country,Points,Year,Discipline
524,USA,134.5,2015,Speed
525,ARG,0,2016,Speed
526,AUS,0,2016,Speed
527,AUT,424.9,2016,Speed
528,AZE,0,2016,Speed
529,BEL,0,2016,Speed
530,BRA,0,2016,Speed
531,BUL,2,2016,Speed
532,CAN,42,2016,Speed
533,CHI,0,2016,Speed
534,CHN,936,2016,Speed
535,CZE,478,2016,Speed
536,DEN,0,2016,Speed
537,ECU,66,2016,Speed
538,ESP,5,2016,Speed
539,FRA,1840,2016,Speed
540,GBR,0,2016,Speed
541,GER,0.9,2016,Speed
542,HKG,5.7,2016,Speed
543,INA,313,2016,Speed
544,IRI,500,2016,Speed
545,ITA,763,2016,Speed
546,JPN,16.7,2016,Speed
547,KAZ,3.85,2016,Speed
548,KOR,17.95,2016,Speed
549,MGL,3,2016,Speed
550,NZL,0,2016,Speed
551,PAK,1.85,2016,Speed
552,POL,2053,2016,Speed
553,RSA,0,2016,Speed
554,RUS,2601,2016,Speed
555,SGP,0,2016,Speed
556,SLO,0,2016,Speed
557,SRB,0,2016,Speed
558,SUI,0,2016,Speed
559,SWE,0,2016,Speed
560,THA,0,2016,Speed
561,TPE,0,2016,Speed
562,UKR,717,2016,Speed
563,USA,36.95,2016,Speed
564,ARG,0,2017,Speed
565,AUS,0,2017,Speed
566,AUT,145,2017,Speed
567,AZE,0,2017,Speed
568,BEL,0,2017,Speed
569,BRA,0,2017,Speed
570,BUL,0,2017,Speed
571,CAN,41.3,2017,Speed
572,CHI,0,2017,Speed
573,CHN,849.8,2017,Speed
574,CZE,191,2017,Speed
575,DEN,0,2017,Speed
576,ECU,91.1,2017,Speed
577,ESP,29.55,2017,Speed
578,FRA,1347.5,2017,Speed
579,GBR,106.5,2017,Speed
580,GER,80.45,2017,Speed
581,HKG,12.85,2017,Speed
582,INA,973.86,2017,Speed
583,IRI,393.72,2017,Speed
584,ITA,1232.15,2017,Speed
585,JPN,2.65,2017,Speed
586,KAZ,146,2017,Speed
587,KOR,110,2017,Speed
588,MGL,0,2017,Speed
